,state_ansi,reference_period_desc,prodn_practice_desc,congr_district_code,load_time,domaincat_desc,year,country_name,end_code,short_desc,watershed_desc,county_name,agg_level_desc,state_fips_code,zip_5,source_desc,state_name,commodity_desc,week_ending,region_desc,freq_desc,country_code,begin_code,unit_desc,asd_desc,Value,group_desc,asd_code,sector_desc,county_code,state_alpha,county_ansi,watershed_code,domain_desc,statisticcat_desc,location_desc,util_practice_desc,CV (%),class_desc
32,,FEB,ALL PRODUCTION PRACTICES,,2025-04-25 15:00:00.000,NOT SPECIFIED,2022,UNITED STATES,02,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,02,LB,,"183,332,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
33,,MAR,ALL PRODUCTION PRACTICES,,2025-04-25 15:00:00.000,NOT SPECIFIED,2022,UNITED STATES,03,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,03,LB,,"202,210,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
34,,APR,ALL PRODUCTION PRACTICES,,2025-04-25 15:00:00.000,NOT SPECIFIED,2022,UNITED STATES,04,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,04,LB,,"181,304,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
35,,MAY,ALL PRODUCTION PRACTICES,,2025-04-25 15:00:00.000,NOT SPECIFIED,2022,UNITED STATES,05,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,05,LB,,"179,813,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
36,,JUN,ALL PRODUCTION PRACTICES,,2025-04-25 15:00:00.000,NOT SPECIFIED,2022,UNITED STATES,06,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,06,LB,,"158,979,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
37,,JUL,ALL PRODUCTION PRACTICES,,2025-04-25 15:00:00.000,NOT SPECIFIED,2022,UNITED STATES,07,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,07,LB,,"151,756,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
38,,AUG,ALL PRODUCTION PRACTICES,,2025-04-25 15:00:00.000,NOT SPECIFIED,2022,UNITED STATES,08,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,08,LB,,"142,962,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
39,,SEP,ALL PRODUCTION PRACTICES,,2025-04-25 15:00:00.000,NOT SPECIFIED,2022,UNITED STATES,09,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,09,LB,,"140,553,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
40,,OCT,ALL PRODUCTION PRACTICES,,2025-04-25 15:00:00.000,NOT SPECIFIED,2022,UNITED STATES,10,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,10,LB,,"162,115,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
41,,NOV,ALL PRODUCTION PRACTICES,,2025-04-25 15:00:00.000,NOT SPECIFIED,2022,UNITED STATES,11,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,11,LB,,"171,463,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
42,,DEC,ALL PRODUCTION PRACTICES,,2025-04-25 15:00:00.000,NOT SPECIFIED,2022,UNITED STATES,12,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,12,LB,,"188,020,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
43,,JAN,ALL PRODUCTION PRACTICES,,2023-04-26 15:00:00.000,NOT SPECIFIED,2021,UNITED STATES,01,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,01,LB,,"222,263,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
44,,FEB,ALL PRODUCTION PRACTICES,,2023-04-26 15:00:00.000,NOT SPECIFIED,2021,UNITED STATES,02,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,02,LB,,"188,833,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
45,,MAR,ALL PRODUCTION PRACTICES,,2023-04-26 15:00:00.000,NOT SPECIFIED,2021,UNITED STATES,03,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,03,LB,,"199,574,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
46,,APR,ALL PRODUCTION PRACTICES,,2023-04-26 15:00:00.000,NOT SPECIFIED,2021,UNITED STATES,04,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,04,LB,,"182,992,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
47,,MAY,ALL PRODUCTION PRACTICES,,2023-04-26 15:00:00.000,NOT SPECIFIED,2021,UNITED STATES,05,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,05,LB,,"183,041,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
48,,JUN,ALL PRODUCTION PRACTICES,,2023-04-26 15:00:00.000,NOT SPECIFIED,2021,UNITED STATES,06,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,06,LB,,"156,965,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
49,,JUL,ALL PRODUCTION PRACTICES,,2023-04-26 15:00:00.000,NOT SPECIFIED,2021,UNITED STATES,07,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,07,LB,,"147,113,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
50,,AUG,ALL PRODUCTION PRACTICES,,2023-04-26 15:00:00.000,NOT SPECIFIED,2021,UNITED STATES,08,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,08,LB,,"147,053,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
51,,SEP,ALL PRODUCTION PRACTICES,,2023-04-26 15:00:00.000,NOT SPECIFIED,2021,UNITED STATES,09,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,09,LB,,"143,640,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
52,,OCT,ALL PRODUCTION PRACTICES,,2023-04-26 15:00:00.000,NOT SPECIFIED,2021,UNITED STATES,10,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,10,LB,,"155,297,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
53,,NOV,ALL PRODUCTION PRACTICES,,2023-04-26 15:00:00.000,NOT SPECIFIED,2021,UNITED STATES,11,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,11,LB,,"155,989,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
54,,DEC,ALL PRODUCTION PRACTICES,,2023-04-26 15:00:00.000,NOT SPECIFIED,2021,UNITED STATES,12,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,12,LB,,"179,965,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
55,,JAN,ALL PRODUCTION PRACTICES,,2022-04-27 15:15:56.000,NOT SPECIFIED,2020,UNITED STATES,01,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,01,LB,,"204,948,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
56,,FEB,ALL PRODUCTION PRACTICES,,2022-04-27 15:15:56.000,NOT SPECIFIED,2020,UNITED STATES,02,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,02,LB,,"194,756,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
57,,MAR,ALL PRODUCTION PRACTICES,,2022-04-27 15:15:56.000,NOT SPECIFIED,2020,UNITED STATES,03,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,03,LB,,"200,052,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
58,,APR,ALL PRODUCTION PRACTICES,,2022-04-27 15:15:56.000,NOT SPECIFIED,2020,UNITED STATES,04,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,04,LB,,"227,212,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
59,,MAY,ALL PRODUCTION PRACTICES,,2022-04-27 15:15:56.000,NOT SPECIFIED,2020,UNITED STATES,05,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,05,LB,,"172,353,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
60,,JUN,ALL PRODUCTION PRACTICES,,2022-04-27 15:15:56.000,NOT SPECIFIED,2020,UNITED STATES,06,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,06,LB,,"149,145,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
61,,JUL,ALL PRODUCTION PRACTICES,,2022-04-27 15:15:56.000,NOT SPECIFIED,2020,UNITED STATES,07,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,07,LB,,"152,958,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
62,,AUG,ALL PRODUCTION PRACTICES,,2022-04-27 15:15:56.000,NOT SPECIFIED,2020,UNITED STATES,08,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,08,LB,,"150,931,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
63,,SEP,ALL PRODUCTION PRACTICES,,2022-04-27 15:15:56.000,NOT SPECIFIED,2020,UNITED STATES,09,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,09,LB,,"150,721,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
64,,OCT,ALL PRODUCTION PRACTICES,,2022-04-27 15:15:56.000,NOT SPECIFIED,2020,UNITED STATES,10,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,10,LB,,"161,991,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
65,,NOV,ALL PRODUCTION PRACTICES,,2022-04-27 15:15:56.000,NOT SPECIFIED,2020,UNITED STATES,11,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,11,LB,,"172,909,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
66,,DEC,ALL PRODUCTION PRACTICES,,2022-04-27 15:15:56.000,NOT SPECIFIED,2020,UNITED STATES,12,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,12,LB,,"207,926,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
